year;Albania;Algeria;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Chile;China;China, Hong Kong SAR;China, Macao SAR;Colombia;Comoros;Congo;Costa Rica;Cote d'Ivoire;Croatia;Curacao;Cyprus;Czech Republic;D.R. of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Estonia;Eswatini;Ethiopia;Fiji;Finland;France;Gabon;Gambia;Georgia;Germany;Ghana;Greece;Grenada;Guatemala;Guinea;Guinea-Bissau;Haiti;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kuwait;Kyrgyzstan;Lao People's DR;Latvia;Lebanon;Lesotho;Liberia;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;North Macedonia;Norway;Oman;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Republic of Korea;Republic of Moldova;Romania;Russian Federation;Rwanda;Saint Kitts and Nevis;Saint Lucia;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;South Africa;Spain;Sri Lanka;St. Vincent and the Grenadines;State of Palestine;Sudan;Suriname;Sweden;Switzerland;Syrian Arab Republic;Taiwan;Tajikistan;Thailand;Togo;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;U.R. of Tanzania: Mainland;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Venezuela (Bolivarian Republic of);Viet Nam;Yemen;Zambia;Zimbabwe
1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1951;;;;;;0,055767947;;;0,024803451;0,058346213;;;;;;;0,036253377;;;;;0,083884881;;;0,046684772;;;;;;;;;0,041874671;;;;;;;;0,022985233;;;0,033100725;;;;0,014623478;;0,12753624;-0,017057617;;;;0,019840518;0,020812997;0,037879418;;;;0,125652402;;0,077240181;0,052631621;;;;0,088451552;;;;0,013924849;;;;0,026368076;;-0,014398351;0,018468488;;;;0,033038251;0,231490421;0,080403454;;0,0821191;;;0,148465149;;;;;;;;;-0,045501914;;;;;;;;0,051442304;0,088083039;;;;0,01246432;;;;;0,024008169;-0,019257209;0,122384002;;0,057396451;;0,02169158;;0,013303843;-0,008952846;;0,075679385;0,095238112;;0,084351743;;;;;;;;;;;;;;;;;;;0,043478217;0,14404954;0,063495111;;;;;0,027874519;0,07494914;;;;-0,048706488;;0,092061719;;0,190799718;;;;0,113665623;;;0,040933096;0,07457629;0,134336628;;0,093418267;;;;
1952;;;;;;-0,063333698;;;-0,042679283;-0,003906247;;;;;;;0,023752927;;;;;0,004394922;;;0,086833683;;;;;;;;;0,077287161;;;;0,045782016;;;;0,062059193;;;0,111176146;;;;0,094969582;;0,06688575;0,021768848;;;0,065274893;0,103709485;0,063286487;0,068476941;;;;0,033185395;;0,048276328;0,031372509;;;;0,085371354;;-0,015421228;;0,02032914;;;;-0,039751143;;-0,020098655;0,048339527;;;;-0,017518109;0,042177641;0,041267261;;0,110029518;;;-0,060936496;;;;;;;;;0,053408447;;;;;;;;-0,024169468;0,036575656;;;;0,046410702;;;;;0,017001253;-8,94E-05;0,154297188;;0,06260836;;0,048744609;;0,025947269;0,050978847;0,007226603;0,058711726;0,05970145;;0,039124175;;;;;;;;;;;;;;;;;;;0,03157896;0,045864703;0,057239843;;;;;0,015437374;0,008189535;;0,105877655;;-0,02595828;;0,038166915;;0,077168341;;;;0,074955451;;;0,007770791;0,0391271;-0,038752453;;0,126518698;;;;
1953;;;;;;0,040489902;;;0,097868535;0,031807822;;;;;;;0,031972155;;;;;-0,190070081;;;0,048361415;;;;;;;;;0,046945657;;;;0,083308382;0,115558604;;;0,072795555;;;0,148647687;;;;0,094362483;;0,092510431;0,058465429;;;0,004464098;0,033547612;0,046557806;0,070779222;;;;0,087352748;;-0,003772486;0,034090887;;;;0,081792389;;0,080336521;;0,035474653;;;;0,062341923;;0,12939046;0,054597841;;;;0,035585212;-0,014705922;0,058064826;;0,062827159;;;-0,046042483;;;;;;;;;0,023019542;;;;;;;;0,017202199;-0,007397237;;;;0,046505831;;;;;0,083994493;0,020828743;0,039957844;;0,02378101;;0,065021162;;0,084732963;0,057451246;-0,020202535;0,050660883;0,082191798;;0,049985645;;;;;;;;;;;;;;;;;;;0,040404083;-0,036175434;-0,046369881;;;;;0,033167556;0,034193259;;0,089693998;;-0,107392205;;0,019200453;;0,114567339;;;;-0,061718086;;;0,044094514;0,044839283;0,049797681;;0,024979961;;;;
1954;;;;;;0,03153382;;;0,074027095;0,076234282;;;;;;;0,0422249;;;;;0,027284878;;;0,075815697;;;;;;;;;-0,011348595;;;;-0,058952774;-0,078632652;;;0,071386313;;;0,038178597;;;;0,02214557;;0,042362279;0,047803374;;;0,071511012;0,086647999;-0,027725257;0,02545654;;;;0,022234698;;0,075367395;0,053763433;;;;0,072086701;;0,042532362;;0,018112726;;;;-0,14489068;;0,086999063;0,036214465;;;;0,007590276;0,162482303;0,039337222;0,100872966;0,04739342;;;0,07675938;;;;;;;;;-0,008061709;;;;;;;;-0,048278207;0,098540199;;;;0,022638742;;;;;0,069013993;0,105455838;0,110893411;;0,076682755;;0,037009569;;-0,008554025;0,034621804;0,058661283;0,060606404;0,070063729;;0,042710693;;0,021755989;;;;;;;;;;;;;;;;;0,061611369;0,121337018;0,070197277;;;;;0,054858904;0,05300761;;0,090596611;;0,087216314;;0,041193495;;-0,105512301;;;;-0,026179361;;;0,028864817;-0,005670872;0,082425828;;0,091742275;;;;
1955;;;;;;0,065288027;;;0,037947131;0,102739757;;;;;;;0,034310846;;;;;0,090190576;;;0,060637265;;;;;;;;;0,084574053;;;;0,047887035;0,083372439;;;0,041055781;;;0,095870305;;;;0,045104292;;0,060289327;-0,004479218;;;0,033986616;0,043998915;-0,001826779;0,050113554;;;;0,050231968;;0,075605777;0,051020472;;;;0,107958203;;0,050727221;;0,024224345;;;;0,022589175;;0,097903289;0,021723898;;;;0,044156687;0,120090702;0,050774683;0,089764416;0,065653479;-0,197277755;;0,055788833;;;;;;;;;0,046102941;;0,093063582;;;;0;;0,040933624;0,075926341;;;;-0,071105944;;;;;0,071011088;0,038770443;0,034578998;;0,016150058;;0,023705201;;0,006833171;0,054655233;0,058237111;0,045583638;0,065476159;;0,039053095;;0,075585899;;;;;;;;;;;;;;;;;0,053811677;0,056894933;0,04717242;;;;;0,028919341;0,063255599;;0,072666781;;-0,077961463;;0,12842447;;0,092622788;;;;0,058709043;;;0,028263901;0,066484116;0,018079158;;0,062572346;;;;0,071526611
1956;;;;;;0,025694985;;;0,002290044;0,058064499;;;;;;;0,0305321;;;;;-0,046663431;;;0,035029185;;;;;;;;;0,084745794;;;;0,006138332;0,078871592;;;0,025006897;;;-0,012870441;;;;0,148534801;;0,053139631;0,019729264;;;0,088163702;0,032324596;0,017589789;0,060704205;;;;0,02076974;;0,028519628;0,04854368;;;;0,071692427;0,180022677;0,080806952;;0,083380578;;;;0,159236746;;0,028832501;0,026568026;;0,113742492;;-0,035473593;0,08189477;0,039546538;0,09444248;0,069713662;0,286458991;;0,049129302;;;;;;;;;0,040983479;;0,020104629;0,046535471;;;0,106849259;;0,012855252;0,074333094;;;;0,019031227;;;;;0,045002196;0,01392086;0,003714089;;-0,015748058;;0,028370914;;0,049239434;0,049531892;0,01666031;0,041124925;0,066666679;;0,044295745;;0,044099637;;;;;;;;;;;;;;;;;0,05508474;0,071773303;-0,13748867;;;;;0,032400567;0,062158352;;0,050374078;;0,045021489;;0,124163663;;0,010963313;;;;0,051689652;;;0,009916061;0,020876484;0,002317498;;0,090129278;;;0,102882969;0,099495023
1957;;;;;;0,037007542;;;0,02143379;0,054878086;;;;;;;0,019075304;;;;;0,00210107;;;0,091244165;;;;;;;;;0,024793397;;;;0,071572848;0,02997548;;;0,005177502;;;0,063648323;;;;0,096150109;;0,009836892;0,035665889;;;0,046005816;0,036247129;0,044479114;0,042866761;;;;0,002730634;;0,004207721;0,052147191;;;;0,05719519;-0,091037371;0,066776448;;0,053404783;;;;0,01230299;;0,001614222;0,000641863;;0,166672581;;-0,029390833;0,081220408;0,036610303;0,11330657;0,072493738;0,027962004;;0,043237535;;;;;;;;;0,048457841;;0,105970774;0,015089217;;;-0,00274722;;0,035406621;0,074628174;;;;-0,039499344;;;;;0,02999835;0,049563688;0,062055896;;0,027393486;;0,039402904;;0,012655373;0,094613088;0,050656908;0,063245861;0,047619;;0,04647541;;0,062513411;;;;;;;;;;;;;;;;;0,040650398;0,042191627;0,030501803;;;;;0,023021625;0,03826311;;0,068466278;;0,124819404;;0,116655195;;0,178760534;;;;0,043753881;;;0,012261977;0,020621154;0,032189224;;0,087689525;;;0,073953754;0,080492014
1958;;;;;;0,061952966;;;0,063523284;0,035294106;;;;;;;-0,005334501;;;;;-0,013221868;;;0,059991087;;;;;;;;;0,016260168;;;;0,044578899;0,005908237;;;0,009855529;;;0,104427974;;;;-0,077270217;;-0,022066452;0,022851991;;;0,043529551;0,026618274;0,086764094;0,013236846;;;;0,081671411;;-0,000998018;0,026865719;;;;0,042683649;0,098129271;0,043975382;;0,044569711;;;;0,066284467;;0,083739382;0,066184782;;0,11803083;;-0,003107478;0,068251339;0,0448094;0,024947309;0,058486307;0,115164721;;0,003219563;;;;;;;;;0,012837975;;0,00581748;-0,013696688;;;0,049608423;;-0,004613165;0,042765671;;;;0,103174825;;;;;-0,010020352;0,006577289;-0,004387528;;0,063458402;;0,014633789;;0,025812664;0,007867535;0,050623668;-0,005711469;0,03571433;;0,007742642;;0,033702037;;;;;;;;;;;;;;;;;0,027667972;0,041809506;0,066158428;;;;;0,023876408;-0,021888442;;0,064202505;;0,019288593;;0,101504732;;0,072850459;;;;-0,022258526;;;0,003212093;-0,007406628;-0,062428722;;0,02847984;;;-0,085045975;0,020874894
1959;;;;;;-0,050894137;;;0,057720528;0,028571369;;;;;;;0,033982792;;;;;0,023652488;;;0,071589942;;;;;;;;;0,039062513;;;;-0,015863272;-0,029500884;;;0,062764951;;;0,028598435;;;;0,053123138;;0,021144043;0,074117044;;;0,06827354;0,045633089;0,040225289;0,019077688;;;;-0,021909511;;0,068395015;0,026162773;;;;0,072895046;0,050008828;0,035808344;;0,047061107;;;;0,062718482;;0,027706946;0,019411716;;0,108436497;;0,053917664;0,113091176;0,061217438;0,031455505;0,086049936;0,153183923;;-0,033288762;;;;;;;;;0,001526106;;-0,122705674;0,092706085;;;-0,005249364;;0,027016329;0,020299019;;;;0,025768083;;;;;0,047002428;0,036930959;-0,020137136;;0,046153924;;0,029155292;;0,032601139;0,060173426;0,002952184;0,035461566;0,062201001;;0,053576047;;0,017414533;;;;;;;;;;;;;;;;;0,045283034;-0,027939051;0,018310702;;;;;0,050666612;0,059423662;;0,073714045;;0,101598181;;0,076279758;;-0,019350505;;;;0,046816082;;;0,030551876;0,064566158;-0,022963158;;0,051522356;;;0,105193094;0,052256094
