year;pl_k
1954;0,581487596
1955;0,539696157
1956;0,566019952
1957;0,531065762
1958;0,551982224
1959;0,543692172
1960;0,563839078
1961;0,611632109
1962;0,626885414
1963;0,683452189
1964;0,705708802
1965;0,650441706
1966;0,687292039
1967;0,730736792
1968;0,771566451
1969;0,849164307
1970;0,794547439
1971;0,773794055
1972;0,847774029
1973;1,003708839
1974;1,03189218
1975;0,873498917
1976;0,905478299
1977;0,8252033
1978;0,937853456
1979;0,977526903
1980;1,029745698
1981;0,959840178
1982;0,889018714
1983;0,887605965
1984;0,854657412
1985;0,703443289
1986;0,737099051
1987;0,89993453
1988;1,069967389
1989;1,03920126
1990;0,980967641
1991;1,000552297
1992;0,966862857
1993;0,875075042
1994;0,891351998
1995;0,89180088
1996;0,911281586
1997;0,880416751
1998;0,770521224
1999;0,823784769
2000;0,806274295
2001;0,765926957
2002;0,811888814
2003;0,94207269
2004;1,024694085
2005;1,026356578
2006;1,023041248
2007;1,118396997
2008;1,235176682
2009;1,091817498
2010;1,294273615
2011;1,477782845
2012;1,324244022
2013;1,166446209
2014;0,96619606
2015;0,78771621
2016;0,855619133
2017;0,898940146
